         96116814 function calls (96095838 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    629/1    0.006    0.000   44.676   44.676 {built-in method builtins.exec}
        1    0.000    0.000   44.676   44.676 test_q_scale_function_pos_drift_stable.py:1(<module>)
        1    0.000    0.000   42.664   42.664 test_q_scale_function_pos_drift_stable.py:13(main)
        4    0.001    0.000   42.336   10.584 sb_scale_function.py:54(profile)
        4    0.001    0.000   42.334   10.584 sb_scale_function.py:36(resample)
        4    0.058    0.014   42.334   10.583 fixed_interval_stick_breaking_representation.py:24(sample)
    66000    0.055    0.000   42.168    0.001 drift_random_process.py:27(sample)
    49500    0.072    0.000   41.892    0.001 spectrally_negative_levy_random_process.py:35(sample)
   148509    0.113    0.000   36.277    0.000 _quadpack_py.py:23(quad)
   148509    0.044    0.000   36.102    0.000 _quadpack_py.py:559(_quad)
   148509    8.327    0.000   36.058    0.000 {built-in method scipy.integrate._quadpack._qagse}
    49506    0.043    0.000   22.090    0.000 tempered_skewed_stable_random_process.py:15(get_underlying_xi_for_time)
    49510    0.083    0.000   22.050    0.000 tempered_stable_random_variable.py:10(__init__)
    49510    0.069    0.000   21.967    0.000 tempered_spectrally_negative_levy_random_variable.py:9(__init__)
    49500    0.919    0.000   19.733    0.000 spectrally_negative_levy_random_variable.py:98(sample)
    49500    0.063    0.000   15.392    0.000 tempered_stable_random_variable.py:60(get_shifted_sigma)
 13913844    2.694    0.000   12.143    0.000 tempered_stable_random_variable.py:65(<lambda>)
    49506    0.076    0.000   11.915    0.000 tempered_stable_random_variable.py:32(get_tempered_mu)
 14171398    7.797    0.000   10.651    0.000 tempered_spectrally_negative_levy_random_variable.py:20(<lambda>)
    49510    0.033    0.000    9.984    0.000 spectrally_negative_levy_random_variable.py:17(__init__)
    49506    0.049    0.000    9.194    0.000 spectrally_negative_levy_random_variable.py:41(get_nu_compensation)
 16191252    8.313    0.000    8.313    0.000 tempered_stable_random_variable.py:38(<lambda>)
  7725501    1.247    0.000    7.274    0.000 spectrally_negative_levy_random_variable.py:46(<lambda>)
  8254633    4.624    0.000    6.566    0.000 tempered_spectrally_negative_levy_random_variable.py:23(<lambda>)
       66    0.003    0.000    4.804    0.073 __init__.py:1(<module>)
 20344307    3.805    0.000    3.805    0.000 tempered_stable_random_variable.py:20(<lambda>)
   718/10    0.003    0.000    2.050    0.205 <frozen importlib._bootstrap>:1343(_find_and_load)
   713/10    0.002    0.000    2.050    0.205 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
   682/12    0.001    0.000    2.046    0.170 <frozen importlib._bootstrap>:905(_load_unlocked)
   572/12    0.001    0.000    2.046    0.170 <frozen importlib._bootstrap_external>:988(exec_module)
  1722/21    0.002    0.000    2.031    0.097 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  8254633    0.991    0.000    1.943    0.000 tempered_stable_random_variable.py:21(<lambda>)
   803/72    0.001    0.000    1.761    0.024 <frozen importlib._bootstrap>:1384(_handle_fromlist)
   561/85    0.000    0.000    1.538    0.018 {built-in method builtins.__import__}
   614108    0.893    0.000    0.893    0.000 {method 'uniform' of 'numpy.random._generator.Generator' objects}
     11/8    0.000    0.000    0.774    0.097 __init__.py:73(import_module)
     11/8    0.000    0.000    0.774    0.097 <frozen importlib._bootstrap>:1369(_gcd_import)
    49518    0.253    0.000    0.757    0.000 {numpy.random._generator.default_rng}
  682/678    0.001    0.000    0.733    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
  104/103    0.000    0.000    0.725    0.007 <frozen importlib._bootstrap_external>:1286(create_module)
  104/103    0.709    0.007    0.724    0.007 {built-in method _imp.create_dynamic}
12765/11450    0.003    0.000    0.721    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.720    0.720 drift_random_process.py:1(<module>)
      5/2    0.000    0.000    0.718    0.359 __init__.py:187(__getattr__)
        1    0.000    0.000    0.693    0.693 const_random_variable.py:1(<module>)
   529132    0.084    0.000    0.623    0.000 spectrally_negative_levy_random_variable.py:143(max_abs_nu_on_interval)
      572    0.004    0.000    0.604    0.001 <frozen importlib._bootstrap_external>:1061(get_code)
   257658    0.129    0.000    0.581    0.000 fromnumeric.py:2177(sum)
      572    0.001    0.000    0.518    0.001 <frozen importlib._bootstrap_external>:1182(get_data)
      572    0.487    0.001    0.487    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.474    0.474 pyplot.py:1(<module>)
   257666    0.174    0.000    0.429    0.000 fromnumeric.py:71(_wrapreduction)
    49519    0.057    0.000    0.423    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.398    0.398 _optimize.py:1(<module>)
        2    0.000    0.000    0.315    0.158 __config__.py:1(<module>)
        5    0.000    0.000    0.308    0.062 pyplot.py:3567(plot)
        7    0.000    0.000    0.302    0.043 pyplot.py:2523(gca)
        7    0.000    0.000    0.288    0.041 pyplot.py:987(gcf)
        1    0.000    0.000    0.288    0.288 pyplot.py:777(figure)
        1    0.000    0.000    0.288    0.288 pyplot.py:462(new_figure_manager)
        1    0.000    0.000    0.282    0.282 _laplacian.py:1(<module>)
1429/1318    0.015    0.000    0.267    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.250    0.250 backend_bases.py:3395(new_figure_manager)
        1    0.000    0.000    0.249    0.249 backend_bases.py:3404(new_figure_manager_given_figure)
        1    0.000    0.000    0.249    0.249 backend_bases.py:1774(new_manager)
        1    0.155    0.155    0.249    0.249 backend_bases.py:2678(create_with_canvas)
   257738    0.226    0.000    0.226    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.223    0.223 figure.py:1(<module>)
    16500    0.036    0.000    0.222    0.000 skewed_stable_random_process.py:31(sample)
        1    0.000    0.000    0.197    0.197 colorbar.py:1(<module>)
    16500    0.146    0.000    0.186    0.000 skewed_stable_random_variable.py:47(sample)
      105    0.002    0.000    0.181    0.002 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.177    0.002 artist.py:126(__init_subclass__)
    49519    0.173    0.000    0.173    0.000 {function SeedSequence.generate_state at 0x1025d3ce0}
   257554    0.163    0.000    0.163    0.000 {method 'poisson' of 'numpy.random._generator.Generator' objects}
      706    0.004    0.000    0.156    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
        1    0.000    0.000    0.153    0.153 multiarray.py:1(<module>)
        1    0.000    0.000    0.151    0.151 lgmres.py:1(<module>)
